PS C:\Users\danib\Desktop\Windows\RAM> vol -f .\memdump.mem windows.getservicesids.GetServiceSIDs
Volatility 3 Framework 2.26.2
Progress:  100.00               PDB scanning finished
SID     Service
S-1-5-80-2946744033-2833218566-1164540619-314168540-3391284662  WdNisDrv
S-1-5-80-3668810961-2468724468-4084584310-3029221373-430494444  WdNisSvc
S-1-5-80-2776957860-1097445026-538298369-1343338959-476919943   webthreatdefsvc
S-1-5-80-30164076-1572113062-120588968-318184534-1336650144     webthreatdefusersvc
S-1-5-80-1797368996-1913753943-2465042596-745143729-2408036150  webthreatdefusersvc_42062
S-1-5-80-1282825935-788281630-359899028-1878232204-2860951615   WEPHOSTSVC
S-1-5-80-1495648203-2503502111-1597754693-3445174711-1316708627 WFDSConMgrSvc
S-1-5-80-2768376765-85268660-951480638-2317617532-3422828864    WFPLWFS
S-1-5-80-533360197-2630880149-807505739-2151714924-2570839994   WiaRpc
S-1-5-80-3938718119-2562705095-2189048393-2852487612-1651019183 WifiCx
S-1-5-80-3488966095-3237316714-2152248236-3202922946-3275547626 Windows Workflow Foundation 4.0.0.0
S-1-5-80-1314485122-3970895080-1653179290-3214604197-56682579   WindowsTrustedRT
S-1-5-80-2899914805-2506168806-919368875-2051509565-976885860   WindowsTrustedRTProxy
S-1-5-80-350045039-4213533676-3741949053-609707664-895491048    WinMad
S-1-5-80-4015764710-1917268369-2628323210-1820452808-4095801055 WinNat
S-1-5-80-2971715461-3208067863-1422018366-770925591-1162363329  WINUSB
S-1-5-80-1409370327-2262994431-3181734005-3492817815-127119016  WinVerbs
S-1-5-80-4033742241-1345873496-387864368-1895056649-4102128482  WireGuard
S-1-5-80-2429767553-128593128-2427591838-1778256749-2155598187  wisvc
S-1-5-80-1428027539-3309602793-2678353003-1498846795-3763184142 WlanSvc
S-1-5-80-2952724807-2252311773-3412998076-2712868122-780978283  wlidsvc
S-1-5-80-3916113136-2435487254-2535488001-4050622930-2364918814 wlpasvc
S-1-5-80-3577588319-513283748-931039988-2701962192-2148388740   WManSvc
S-1-5-80-1635442456-4231674260-3066288937-1147435026-1365933032 Wof
S-1-5-80-3413159032-3694667005-1396569551-1250786377-1429361823 workerdd
S-1-5-80-3006764832-2469330069-4024865495-2754276538-3243839463 workfolderssvc
S-1-5-80-358856340-4190185137-1150018170-4132368399-2594611401  WpdUpFltr
S-1-5-80-1938892561-4120931771-3580170924-3403102300-2651602529 WpnService
S-1-5-80-951620777-1059631183-2804607755-3010024351-809615488   WpnUserService
S-1-5-80-2760968839-3784000991-4200814790-2286819779-1538818850 WpnUserService_42062
S-1-5-80-4215903001-1641185813-127400618-2596970956-420719132   wtd
S-1-5-80-1803441692-2341117941-3526855333-3767870088-2684717574 WUDFWpdFs
S-1-5-80-794853676-1269112726-2386671565-1760138502-3367587780  xboxgip
S-1-5-80-3605394182-687838168-1441221562-1662690741-4241567093  XboxGipSvc
S-1-5-80-1281037624-1782002805-990284447-3522102690-2853398433  xinputhid
S-1-5-80-728399582-4133272318-186056358-4211677861-1855355079   {004F2B42-77C2-440A-A0FE-45BCC5BA75EB}
S-1-5-80-2855050193-117558899-2163188106-687716573-4073449632   {3AF864E1-3C30-53A4-DA8D-31BCE865447E}
S-1-5-80-3009642865-3878904847-1337340010-796417930-1895502962  {BBC2D695-D149-4EBB-8531-2C1593B80E84}
